id,type,latitude,longitude
way/138566122,Bicicletários,-23.4859886,-46.50337295999999
way/163500497,Bicicletários,-23.722365380000003,-46.69195828
way/325219437,Bicicletários,-23.63126644,-46.7733335
way/390223828,Bicicletários,-23.485826261764704,-46.45376213823528
way/422126327,Bicicletários,-23.55835956,-46.72998666
way/422943782,Bicicletários,-23.558200640000003,-46.72566198
way/466687595,Bicicletários,-23.57151684,-46.70845196
way/483697220,Bicicletários,-23.561593100000003,-46.70183006
way/488389907,Bicicletários,-23.545861679999998,-46.73250110000001
way/500455010,Bicicletários,-23.564710759999997,-46.7014366
way/535689027,Bicicletários,-23.56710056,-46.70211178
way/590859350,Bicicletários,-23.562617428571432,-46.66649038571428
way/618678688,Bicicletários,-23.76693384,-46.71660888
way/623339450,Bicicletários,-23.51761932,-46.475604280000006
way/664883313,Bicicletários,-23.736048999999998,-46.69620135
way/682137699,Bicicletários,-23.4870279,-46.7268375
way/698745615,Bicicletários,-23.61402156666667,-46.69463915
way/698759080,Bicicletários,-23.618553860000002,-46.682474
way/708149106,Bicicletários,-23.69481048571428,-46.684007057142864
way/715945825,Bicicletários,-23.53059038,-46.51764142
way/734028237,Bicicletários,-23.58324432,-46.40871377999999
way/737029358,Bicicletários,-23.597862072222224,-46.63715195
way/762670707,Bicicletários,-23.755500145454548,-46.70955651818181
way/831335180,Bicicletários,-23.82820165,-46.72621523749999
way/831449250,Bicicletários,-23.70521758,-46.688250800000006
way/863997086,Bicicletários,-23.622330079999998,-46.70272396
way/942593085,Bicicletários,-23.590047100000003,-46.73667666666666
way/954400389,Bicicletários,-23.4919478,-46.43378421999999
way/979341205,Bicicletários,-23.485091719999996,-46.481128
way/979341206,Bicicletários,-23.490278099999998,-46.44396071999999
way/979341207,Bicicletários,-23.49190264,-46.42123214
way/979341208,Bicicletários,-23.49389724,-46.40353578
way/979341209,Bicicletários,-23.484929459999996,-46.385189600000004
way/979348497,Bicicletários,-23.4970311,-46.520284600000004
way/979348498,Bicicletários,-23.49889516,-46.52022252
way/979352626,Bicicletários,-23.592242600000002,-46.58888932
way/979352627,Bicicletários,-23.6779289,-46.70161134
way/979355386,Bicicletários,-23.593626,-46.69206634
way/979355387,Bicicletários,-23.557034685714285,-46.7115889
way/979355388,Bicicletários,-23.54582896,-46.73247898000001
way/979417384,Bicicletários,-23.5366971,-46.742796420000005
way/979421702,Bicicletários,-23.438563159999998,-46.747842739999996
way/979423307,Bicicletários,-23.646703759999998,-46.64010976
way/979425620,Bicicletários,-23.542583119999996,-46.47194182
way/979425621,Bicicletários,-23.538903283333337,-46.564807683333335
way/979425622,Bicicletários,-23.550908659999997,-46.63369448
way/979425623,Bicicletários,-23.567374859999997,-46.694436960000004
way/987778700,Bicicletários,-23.567431140000004,-46.701462140000004
way/987780989,Bicicletários,-23.58597394,-46.72353066000001
way/987788235,Bicicletários,-23.59876678,-46.64572134
way/987788236,Bicicletários,-23.59796558,-46.65196194
way/987789310,Bicicletários,-23.603856120000003,-46.6619088
way/987789786,Bicicletários,-23.609352700000002,-46.66856026000001
way/987790372,Bicicletários,-23.62706346,-46.688677739999996
way/987791152,Bicicletários,-23.633599720000003,-46.693016400000005
way/987792505,Bicicletários,-23.64098988,-46.6993235
way/987795585,Bicicletários,-23.828286659999996,-46.72686302
way/990560668,Bicicletários,-23.736232639999997,-46.6962967
way/990567286,Bicicletários,-23.69100248,-46.7745535
way/990567642,Bicicletários,-23.66913924,-46.73560566
way/990569747,Bicicletários,-23.65507976,-46.761352259999995
way/990570215,Bicicletários,-23.643899420000004,-46.733088699999996
way/990572210,Bicicletários,-23.65455624,-46.71122556
way/990575308,Bicicletários,-23.43242254,-46.786967759999996
way/990575808,Bicicletários,-23.52033068,-46.7003166
way/990576808,Bicicletários,-23.474629260000004,-46.668963059999996
way/990576956,Bicicletários,-23.49601248,-46.662580260000006
way/990579625,Bicicletários,-23.5581874,-46.52269728
way/990580079,Bicicletários,-23.51928024,-46.546916859999996
way/990580921,Bicicletários,-23.52791594,-46.55482534
way/990582141,Bicicletários,-23.538740960000002,-46.6485944
way/990583721,Bicicletários,-23.534114780000003,-46.64498156
way/990584152,Bicicletários,-23.549266339999996,-46.64032218000001
way/990586140,Bicicletários,-23.54803082,-46.6299041
way/990586141,Bicicletários,-23.54592084,-46.630044139999995
way/990852848,Bicicletários,-23.5499551,-46.62752626
way/990852849,Bicicletários,-23.54995076,-46.62640018
way/990854526,Bicicletários,-23.559097380000004,-46.61510116000001
way/990854527,Bicicletários,-23.5583855,-46.615010659999996
way/990855224,Bicicletários,-23.564145200000002,-46.61065734
way/990855225,Bicicletários,-23.56449352,-46.612016419999996
way/990856175,Bicicletários,-23.5742342,-46.60263002
way/990872255,Bicicletários,-23.59136876,-46.59807036
way/990872256,Bicicletários,-23.59127922,-46.59754608000001
way/990874655,Bicicletários,-23.5982334,-46.597494499999996
way/990874656,Bicicletários,-23.5982738,-46.59693536
way/990876169,Bicicletários,-23.60364628,-46.60328134
way/990877261,Bicicletários,-23.585044200000002,-46.58364808
way/990878228,Bicicletários,-23.614297735714285,-46.50149649285716
node/387095686,Bicicletários,-23.589497,-46.6477373
node/387095687,Bicicletários,-23.5894516,-46.6476381
node/1808437623,Bicicletários,-23.5921394,-46.5890304
node/1808437646,Bicicletários,-23.593135,-46.5905613
node/1974955980,Bicicletários,-23.5901404,-46.6575271
node/2118345610,Bicicletários,-23.4824263,-46.4994137
node/2279064241,Bicicletários,-23.5882303,-46.6629794
node/2279064246,Bicicletários,-23.5854611,-46.6610487
node/2279064256,Bicicletários,-23.5912024,-46.6603238
node/2279064261,Bicicletários,-23.5893246,-46.6592038
node/2279064274,Bicicletários,-23.5881946,-46.6568001
node/2279064295,Bicicletários,-23.5901659,-46.6543808
node/2279064296,Bicicletários,-23.5886419,-46.6628512
